"country","countrycode","year","month","cpi_sa","cpi_yoy_nsa","exchange_rate_neer","exchange_rate_reer","exchnage_rate_vs_usd","ind_prod_const","ind_prod_const_sa","time","usa_imp_sa","usa_ip_sa","chn_ip_sa","ln_ip","ln_usa_ip","ln_chn_ip","ln_usa_imports","ln_er_usd","cc"
"Malaysia","MYS",2005,1,86.93604786524,2.54041111469,91.12363882805,90.549605,3.8,7725674519.90886,7868897813.68934,540,132065,265658308460.099,117582700554.404,22.7861838404814,26.3054767653193,25.4904077574608,11.7910495046099,1.33500106673234,"MYS"
"Thailand","THA",2005,2,85.0201586638,2.57718754865,89.514219,85.35250725,38.4566,8521806710.55698,8514210868.66917,541,134921,267445491342.268,118831315690.421,22.8650024713312,26.3121816118353,25.5009708092263,11.8124447009477,3.64953033271667,"THA"
"Malaysia","MYS",2005,2,87.01701042085,2.57690453212,91.18681895135,90.3508635,3.8,7148527144.2407,7624318900.31648,541,134921,267445491342.268,118831315690.421,22.7546088309016,26.3121816118353,25.5009708092263,11.8124447009477,1.33500106673234,"MYS"
"Singapore","SGP",2005,2,89.20810697869,-0.12995282712,89.10280706748,90.3622745,1.63805,2972338735.55246,3428645582.85525,541,134921,267445491342.268,118831315690.421,21.9554311463379,26.3121816118353,25.5009708092263,11.8124447009477,0.493506509995523,"SGP"
"Philippines","PHL",2005,2,77.15272637552,8.56953475159,89.68124590731,77.44213875,54.78575,6172793225.75356,6023746154.72361,541,134921,267445491342.268,118831315690.421,22.518975187566,26.3121816118353,25.5009708092263,11.8124447009477,4.00343012364227,"PHL"
"Singapore","SGP",2005,3,89.23248363282,0.19942908536,89.31011585027,90.12256173913,1.63204347826,3888415610.19117,3647231097.58234,542,130902,267070629329.366,119631727052.213,22.0172341132535,26.3107789896884,25.5076839196397,11.7822042306201,0.489832897277734,"SGP"
"Philippines","PHL",2005,3,77.53628064509,8.50649758302,90.03014070876,77.75090695652,54.39413043478,6389750810.78571,5835837182.47532,542,130902,267070629329.366,119631727052.213,22.4872835683959,26.3107789896884,25.5076839196397,11.7822042306201,3.99625625162117,"PHL"
"Thailand","THA",2005,3,85.75246902133,3.31939312859,88.96317043478,85.57063304348,38.60565217391,10149616975.351,9299517973.5259,542,130902,267070629329.366,119631727052.213,22.9532284049587,26.3107789896884,25.5076839196397,11.7822042306201,3.65339869512696,"THA"
"Malaysia","MYS",2005,3,87.23796542605,2.71104271873,90.90099114144,89.87912478261,3.8,8272445717.91028,7951114744.10067,542,130902,267070629329.366,119631727052.213,22.7965779751666,26.3107789896884,25.5076839196397,11.7822042306201,1.33500106673234,"MYS"
"Thailand","THA",2005,4,85.8965117999,3.48584722515,87.6706447619,84.68420809524,39.54133333333,8620795172.60527,9694466374.26778,543,137129,267471844625.815,121298077126.5,22.9948210827923,26.3122801440076,25.5215168005572,11.828677367617,3.67734653830013,"THA"
